Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3994102036,Matthew.walsh5,0,169.96,DST Seahawks  FLEX Travis Kelce QB Dak Prescott RB Alvin Kamara RB Breece Hall TE Connor Heyward WR A.J. Brown WR Diontae Johnson WR Demario Douglas,,Breece Hall,RB,87.50%,21.3
2,3987992363,Iceman_1733,0,143.12,DST Bengals  FLEX Trey McBride QB Joe Burrow RB Isiah Pacheco RB Breece Hall TE Travis Kelce WR Ja'Marr Chase WR Zay Flowers WR Tank Dell,,Zay Flowers,WR,50.00%,6.9
3,3984704789,molly_camp,0,131.96,DST Falcons  FLEX Jeff Wilson Jr. QB Jalen Hurts RB Najee Harris RB Jordan Mason TE Evan Engram WR A.J. Brown WR Garrett Wilson WR Nico Collins,,Isiah Pacheco,RB,37.50%,6.7
4,3992977104,abc010,0,131.38,DST Jaguars  FLEX Trey McBride QB Lamar Jackson RB Isiah Pacheco RB Breece Hall TE Dalton Schultz WR Tyreek Hill WR Zay Flowers WR Terry McLaurin,,A.J. Brown,WR,37.50%,36
5,3985779256,jcameronmetz,0,127.54,DST Steelers  FLEX Mark Andrews QB Mac Jones RB Tony Pollard RB Breece Hall TE Jake Ferguson WR Ja'Marr Chase WR Nico Collins WR Kendrick Bourne,,Nico Collins,WR,37.50%,7
6,3994007491,sokirkab,0,119.64,DST Vikings  FLEX Dameon Pierce QB Patrick Mahomes RB Alvin Kamara RB Breece Hall TE Logan Thomas WR Adam Thielen WR Zay Flowers WR Rashee Rice,,Lamar Jackson,QB,25.00%,11.98
7,3993967633,802the805,0,117.2,DST Falcons  FLEX Kendrick Bourne QB C.J. Stroud RB Isiah Pacheco RB Breece Hall TE Dalton Schultz WR A.J. Brown WR Adam Thielen WR Nico Collins,,Alvin Kamara,RB,25.00%,27
8,3992482854,dalla2746,0,115.58,DST Seahawks  FLEX Terry McLaurin QB Lamar Jackson RB Breece Hall RB Dameon Pierce TE Mark Andrews WR Zay Flowers WR Marquise Brown WR Josh Downs,,Dameon Pierce,RB,25.00%,4.6
,,,,,,,Ja'Marr Chase,WR,25.00%,28.2
,,,,,,,Adam Thielen,WR,25.00%,15.2
,,,,,,,Terry McLaurin,WR,25.00%,17.3
,,,,,,,Kendrick Bourne,WR,25.00%,12.6
,,,,,,,Travis Kelce,TE,25.00%,11.8
,,,,,,,Mark Andrews,TE,25.00%,14
,,,,,,,Dalton Schultz,TE,25.00%,2.5
,,,,,,,Trey McBride,FLEX,25.00%,25.5
,,,,,,,Seahawks,DST,25.00%,10
,,,,,,,Falcons,DST,25.00%,3
,,,,,,,Patrick Mahomes,QB,12.50%,8.64
,,,,,,,Jalen Hurts,QB,12.50%,31.36
,,,,,,,C.J. Stroud,QB,12.50%,12.9
,,,,,,,Dak Prescott,QB,12.50%,32.06
,,,,,,,Joe Burrow,QB,12.50%,27.62
,,,,,,,Mac Jones,QB,12.50%,13.24
,,,,,,,Tony Pollard,RB,12.50%,6.5
,,,,,,,Najee Harris,RB,12.50%,10.5
,,,,,,,Jordan Mason,RB,12.50%,0
,,,,,,,Jeff Wilson Jr.,FLEX,12.50%,5.7
,,,,,,,Tyreek Hill,WR,12.50%,28.2
,,,,,,,Garrett Wilson,WR,12.50%,20.6
,,,,,,,Marquise Brown,WR,12.50%,15.3
,,,,,,,Diontae Johnson,WR,12.50%,16.5
,,,,,,,Rashee Rice,WR,12.50%,9.6
,,,,,,,Tank Dell,WR,12.50%,6.1
,,,,,,,Josh Downs,WR,12.50%,14.2
,,,,,,,Demario Douglas,WR,12.50%,7.9
,,,,,,,Evan Engram,TE,12.50%,17.8
,,,,,,,Jake Ferguson,TE,12.50%,14.7
,,,,,,,Logan Thomas,TE,12.50%,16.4
,,,,,,,Connor Heyward,TE,12.50%,7.4
,,,,,,,Steelers,DST,12.50%,10
,,,,,,,Jaguars,DST,12.50%,11
,,,,,,,Vikings,DST,12.50%,10
,,,,,,,Bengals,DST,12.50%,9
