Rank,EntryName,TimeRemaining,Points,,,,,
1,jcameronmetz,0,163.16,,,,,
2,sokirkab,0,149.34,,,,,
3,QTURNER17,0,144.92,,,,,
4,Matthew.walsh5,0,135.1,,,,,
5,dalla2746,0,134.26,,,,,
6,802the805,0,104.38,,,,,
7,cciaburri,0,102.74,,,,,
8,abc010,0,99.34,,,,,
9,molly_camp,0,95.78,,,,,
10,Undy14,0,73.58,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
