Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3473144622,jcameronmetz,0,180.32,QB Justin Fields RB Dalvin Cook RB Kenneth Walker III WR Davante Adams FLEX Jaylen Waddle WR Amon-Ra St. Brown WR Tyquan Thornton TE Cole Kmet DST Panthers ,,Travis Etienne Jr.,RB,62.50%,29.6
2,3473656618,Iceman_1733,0,171.92,QB Justin Fields RB Travis Etienne Jr. RB Rhamondre Stevenson WR Tyreek Hill WR DeAndre Hopkins WR Joshua Palmer TE Gerald Everett FLEX Hayden Hurst DST Panthers ,,Joshua Palmer,WR,50.00%,21.6
3,3476227768,abc010,0,150.6,QB Josh Allen RB Travis Etienne Jr. FLEX Kenneth Walker III RB Rhamondre Stevenson WR Amon-Ra St. Brown WR DJ Moore WR Joshua Palmer TE Evan Engram DST Jets ,,Rhamondre Stevenson,RB,37.50%,16
4,3471363252,frankmkerr23,0,146.26,QB Taylor Heinicke RB Josh Jacobs RB Travis Etienne Jr. FLEX Rhamondre Stevenson WR Tyreek Hill WR Terry McLaurin WR Joshua Palmer TE Evan Engram DST Jets ,,Terry McLaurin,WR,37.50%,10.6
5,3479839603,Matthew.walsh5,0,120.14,QB Aaron Rodgers RB Austin Ekeler RB Travis Etienne Jr. FLEX Raheem Mostert WR Tyler Lockett WR Terry McLaurin WR Damiere Byrd TE Robert Tonyan DST Vikings ,,Aaron Rodgers,QB,25.00%,16.64
6,3478719214,802the805,0,117.5,QB Kirk Cousins RB Travis Etienne Jr. RB Deon Jackson WR Justin Jefferson FLEX DeAndre Hopkins WR Terry McLaurin WR Kendrick Bourne TE Tyler Higbee DST Seahawks ,,Justin Fields,QB,25.00%,45.72
7,3477721370,sokirkab,0,109.14,QB Aaron Rodgers RB Josh Jacobs RB Cordarrelle Patterson WR Justin Jefferson WR Jaylen Waddle WR Romeo Doubs TE Kyle Pitts FLEX Tre' McKitty DST Colts ,,Austin Ekeler,RB,25.00%,25.1
8,3473768916,dalla2746,0,96.3,QB Justin Herbert FLEX Austin Ekeler RB Antonio Gibson RB Deon Jackson WR Adam Thielen WR Romeo Doubs WR Joshua Palmer TE Kyle Pitts DST Colts ,,Josh Jacobs,RB,25.00%,11.7
,,,,,,,Kenneth Walker III,RB,25.00%,30.9
,,,,,,,Deon Jackson,RB,25.00%,5.6
,,,,,,,Justin Jefferson,WR,25.00%,28.5
,,,,,,,Tyreek Hill,WR,25.00%,30.3
,,,,,,,DeAndre Hopkins,WR,25.00%,13.6
,,,,,,,Jaylen Waddle,WR,25.00%,19.5
,,,,,,,Amon-Ra St. Brown,WR,25.00%,9.5
,,,,,,,Romeo Doubs,WR,25.00%,2.8
,,,,,,,Kyle Pitts,TE,25.00%,4.7
,,,,,,,Evan Engram,TE,25.00%,1.8
,,,,,,,Colts,DST,25.00%,7
,,,,,,,Panthers,DST,25.00%,-2
,,,,,,,Jets,DST,25.00%,10
,,,,,,,Josh Allen,QB,12.50%,26.8
,,,,,,,Justin Herbert,QB,12.50%,13.1
,,,,,,,Kirk Cousins,QB,12.50%,17.4
,,,,,,,Taylor Heinicke,QB,12.50%,14.66
,,,,,,,Dalvin Cook,RB,12.50%,13.6
,,,,,,,Raheem Mostert,FLEX,12.50%,8.6
,,,,,,,Cordarrelle Patterson,RB,12.50%,18.3
,,,,,,,Antonio Gibson,RB,12.50%,6.7
,,,,,,,Davante Adams,WR,12.50%,39.6
,,,,,,,Tyler Lockett,WR,12.50%,17.7
,,,,,,,DJ Moore,WR,12.50%,4.4
,,,,,,,Adam Thielen,WR,12.50%,9.7
,,,,,,,Damiere Byrd,WR,12.50%,0
,,,,,,,Kendrick Bourne,WR,12.50%,4.2
,,,,,,,Tyquan Thornton,WR,12.50%,1.5
,,,,,,,Gerald Everett,TE,12.50%,8.6
,,,,,,,Robert Tonyan,TE,12.50%,5.9
,,,,,,,Tyler Higbee,TE,12.50%,0
,,,,,,,Hayden Hurst,FLEX,12.50%,8.5
,,,,,,,Cole Kmet,TE,12.50%,22
,,,,,,,Tre' McKitty,FLEX,12.50%,0
,,,,,,,Vikings,DST,12.50%,6
,,,,,,,Seahawks,DST,12.50%,8
