Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3592441091,jcameronmetz,0,149.2,DST Saints  FLEX Christian McCaffrey QB Justin Fields RB Tyler Allgeier RB D'Andre Swift TE Cole Kmet WR Amon-Ra St. Brown WR DJ Chark Jr. WR Tutu Atwell,,Justin Fields,QB,55.56%,21.2
2,3594035454,sokirkab,0,145,DST 49ers  FLEX Dallas Goedert QB Justin Fields RB Travis Etienne Jr. RB Jamaal Williams TE Tyler Conklin WR Keenan Allen WR Chris Godwin WR Jerry Jeudy,,49ers,DST,55.56%,3
3,3591721103,dalla2746,0,127.1,DST Jaguars  FLEX Greg Dortch QB Justin Fields RB Travis Etienne Jr. RB Jamaal Williams TE Cole Kmet WR Justin Jefferson WR Allen Lazard WR DJ Chark Jr.,,Travis Etienne Jr.,RB,44.44%,26
4,3589619981,frankmkerr23,0,116.1,DST Patriots  FLEX Brian Robinson Jr. QB Jared Goff RB Travis Etienne Jr. RB Cam Akers TE Evan Engram WR Amon-Ra St. Brown WR Jerry Jeudy WR Garrett Wilson,,Amon-Ra St. Brown,WR,44.44%,10.2
5,3593916660,Matthew.walsh5,0,106.5,DST 49ers  FLEX Romeo Doubs QB Justin Fields RB Christian McCaffrey RB Brian Robinson Jr. TE Cole Kmet WR Amon-Ra St. Brown WR Brandin Cooks WR Greg Dortch,,Greg Dortch,WR,44.44%,5.5
6,3595047149,802the805,0,103.8,DST 49ers  FLEX Corey Davis QB Mike White RB Christian McCaffrey RB James Conner TE Travis Kelce WR Garrett Wilson WR Jakobi Meyers WR Greg Dortch,,Christian McCaffrey,RB,33.33%,34.3
7,3587855445,Iceman_1733,0,98.9,DST 49ers  FLEX Jordan Akins QB Justin Fields RB Tyler Allgeier RB Brian Robinson Jr. TE George Kittle WR Tyreek Hill WR Amon-Ra St. Brown WR Greg Dortch,,Brian Robinson Jr.,RB,33.33%,8.7
8,3594305806,abc010,0,92.3,DST Patriots  FLEX Justin Jefferson QB Jared Goff RB Dalvin Cook RB Travis Etienne Jr. TE Evan Engram WR Garrett Wilson WR Jahan Dotson WR DJ Chark Jr.,,Garrett Wilson,WR,33.33%,4.8
9,3595196595,cciaburri,0,89.76,DST 49ers  FLEX Leonard Fournette QB Aaron Rodgers RB Saquon Barkley RB Jerick McKinnon TE Evan Engram WR Keenan Allen WR Allen Lazard WR Romeo Doubs,,DJ Chark Jr.,WR,33.33%,7.6
,,,,,,,Cole Kmet,TE,33.33%,10.7
,,,,,,,Evan Engram,TE,33.33%,3.9
,,,,,,,Jared Goff,QB,22.22%,22.4
,,,,,,,Tyler Allgeier,RB,22.22%,16.5
,,,,,,,Jamaal Williams,RB,22.22%,25.7
,,,,,,,Justin Jefferson,WR,22.22%,2.5
,,,,,,,Keenan Allen,WR,22.22%,11.8
,,,,,,,Jerry Jeudy,WR,22.22%,10.8
,,,,,,,Allen Lazard,WR,22.22%,10.9
,,,,,,,Romeo Doubs,WR,22.22%,5
,,,,,,,Patriots,DST,22.22%,12
,,,,,,,Aaron Rodgers,QB,11.11%,16.56
,,,,,,,Mike White,QB,11.11%,6.6
,,,,,,,Saquon Barkley,RB,11.11%,7.3
,,,,,,,James Conner,RB,11.11%,14
,,,,,,,Dalvin Cook,RB,11.11%,6.4
,,,,,,,Cam Akers,RB,11.11%,17.3
,,,,,,,Jerick McKinnon,RB,11.11%,22.6
,,,,,,,Leonard Fournette,FLEX,11.11%,8.7
,,,,,,,D'Andre Swift,RB,11.11%,27.7
,,,,,,,Tyreek Hill,WR,11.11%,15.7
,,,,,,,Chris Godwin,WR,11.11%,25
,,,,,,,Jakobi Meyers,WR,11.11%,16.8
,,,,,,,Brandin Cooks,WR,11.11%,7.9
,,,,,,,Jahan Dotson,WR,11.11%,6.7
,,,,,,,Corey Davis,FLEX,11.11%,7.5
,,,,,,,Tutu Atwell,WR,11.11%,3
,,,,,,,Travis Kelce,TE,11.11%,11.3
,,,,,,,George Kittle,TE,11.11%,12.3
,,,,,,,Dallas Goedert,FLEX,11.11%,7.5
,,,,,,,Jordan Akins,FLEX,11.11%,5.8
,,,,,,,Tyler Conklin,TE,11.11%,14
,,,,,,,Jaguars,DST,11.11%,17
,,,,,,,Saints,DST,11.11%,18
