Rank,EntryId,EntryName,TimeRemaining,Points
1,,frankmkerr23,0,173.88
2,,dalla2746,0,146.98
3,,abc010,0,133.58
4,,jcameronmetz,0,131.86
5,,sarahskerr,0,120.68
6,,sokirkab,0,113.16
7,,Iceman_1733,0,104.7
8,,QTURNER17,0,88.08
9,,802the805,0,86.06
10,,Matthew.walsh5,0,78.28
