Rank,EntryId,EntryName,TimeRemaining,Points
1,,jcameronmetz,0,161.68
2,,sokirkab,0,160.4
3,,Matthew.walsh5,0,159.06
4,,QTURNER17,0,154
5,,802the805,0,152
6,,abc010,0,141.92
7,,frankmkerr23,0,135.12
8,,Iceman_1733,0,133.16
9,,cciaburri,0,97.22
