Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3573176348,Iceman_1733,0,171.6,DST Eagles  FLEX Dalvin Cook QB Gardner Minshew II RB Derrick Henry RB J.K. Dobbins TE T.J. Hockenson WR DK Metcalf WR DJ Moore WR Jahan Dotson,,Derrick Henry,RB,100.00%,22.6
2,3579167907,Matthew.walsh5,0,170.4,DST Patriots  FLEX Dallas Goedert QB Gardner Minshew II RB Christian McCaffrey RB Derrick Henry TE T.J. Hockenson WR DK Metcalf WR K.J. Osborn WR Isaiah Hodgins,,DK Metcalf,WR,54.55%,15.1
3,3579399246,dank620,0,154.8,DST Eagles  FLEX D'Andre Swift QB Gardner Minshew II RB Derrick Henry RB Dalvin Cook TE T.J. Hockenson WR DK Metcalf WR JuJu Smith-Schuster WR Jahan Dotson,,Gardner Minshew II,QB,45.45%,28.7
4,3574524260,jcameronmetz,0,153.56,DST Saints  FLEX Dalton Schultz QB Daniel Jones RB Christian McCaffrey RB Derrick Henry TE Will Dissly WR Justin Jefferson WR Isaiah Hodgins WR Richie James Jr.,,Eagles,DST,45.45%,10
5,3579802075,802the805,0,144.56,DST Saints  FLEX Marquise Goodwin QB Daniel Jones RB Derrick Henry RB Jerick McKinnon TE Dalton Schultz WR Justin Jefferson WR Darius Slayton WR Isaiah Hodgins,,Jerick McKinnon,RB,36.36%,12.8
6,3578524323,sokirkab,0,144.2,DST Eagles  FLEX Rashid Shaheed QB Gardner Minshew II RB Christian McCaffrey RB Derrick Henry TE Dallas Goedert WR Justin Jefferson WR Marquez Valdes-Scantling WR Richie James Jr.,,T.J. Hockenson,TE,36.36%,38.9
7,3578841217,dalla2746,0,137.96,DST Eagles  FLEX Derrick Henry QB Daniel Jones RB Dalvin Cook RB Miles Sanders TE T.J. Hockenson WR JuJu Smith-Schuster WR Donovan Peoples-Jones WR Richie James Jr.,,Dallas Goedert,TE,36.36%,9.7
8,3579056189,abc010,0,128.86,DST Eagles  FLEX Dalton Schultz QB Patrick Mahomes RB Derrick Henry RB Jerick McKinnon TE Dallas Goedert WR DK Metcalf WR DJ Moore WR Terrace Marshall Jr.,,Daniel Jones,QB,27.27%,24.76
9,3579832020,cciaburri,0,127.66,DST Giants  FLEX Jahan Dotson QB Patrick Mahomes RB Derrick Henry RB Saquon Barkley TE Travis Kelce WR Rashid Shaheed WR Nelson Agholor WR DeSean Jackson,,Christian McCaffrey,RB,27.27%,13.8
10,3573704954,frankmkerr23,0,122.2,DST Panthers  FLEX D'Andre Swift QB Gardner Minshew II RB Derrick Henry RB Jerick McKinnon TE Dallas Goedert WR DK Metcalf WR JuJu Smith-Schuster WR DJ Moore,,Dalvin Cook,RB,27.27%,10.7
11,3573197707,QTURNER17,0,103.2,DST Bears  FLEX Quez Watkins QB Geno Smith RB Derrick Henry RB Jerick McKinnon TE David Njoku WR Amon-Ra St. Brown WR DK Metcalf WR Drake London,,Justin Jefferson,WR,27.27%,34.3
,,,,,,,JuJu Smith-Schuster,WR,27.27%,5.7
,,,,,,,DJ Moore,WR,27.27%,20.1
,,,,,,,Isaiah Hodgins,WR,27.27%,22.9
,,,,,,,Jahan Dotson,WR,27.27%,19.6
,,,,,,,Richie James Jr.,WR,27.27%,17
,,,,,,,Dalton Schultz,TE,27.27%,7.3
,,,,,,,Patrick Mahomes,QB,18.18%,23.76
,,,,,,,D'Andre Swift,FLEX,18.18%,3.5
,,,,,,,Rashid Shaheed,WR,18.18%,8.1
,,,,,,,Saints,DST,18.18%,8
,,,,,,,Geno Smith,QB,9.09%,13.2
,,,,,,,Saquon Barkley,RB,9.09%,27.3
,,,,,,,Miles Sanders,RB,9.09%,7.1
,,,,,,,J.K. Dobbins,RB,9.09%,5.9
,,,,,,,Amon-Ra St. Brown,WR,9.09%,14.6
,,,,,,,Darius Slayton,WR,9.09%,11.9
,,,,,,,Donovan Peoples-Jones,WR,9.09%,1.2
,,,,,,,Drake London,WR,9.09%,15.6
,,,,,,,K.J. Osborn,WR,9.09%,4.7
,,,,,,,Marquez Valdes-Scantling,WR,9.09%,0
,,,,,,,Marquise Goodwin,FLEX,9.09%,0
,,,,,,,Terrace Marshall Jr.,WR,9.09%,7.5
,,,,,,,Quez Watkins,FLEX,9.09%,2.9
,,,,,,,Nelson Agholor,WR,9.09%,0
,,,,,,,DeSean Jackson,WR,9.09%,2
,,,,,,,Travis Kelce,TE,9.09%,20.3
,,,,,,,David Njoku,TE,9.09%,3.4
,,,,,,,Will Dissly,TE,9.09%,2.9
,,,,,,,Giants,DST,9.09%,4
,,,,,,,Patriots,DST,9.09%,14
,,,,,,,Panthers,DST,9.09%,4
,,,,,,,Bears,DST,9.09%,3
