Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3537898753,dalla2746,0,180.3,QB Jared Goff RB Nick Chubb RB Dameon Pierce FLEX Zonovan Knight WR Amon-Ra St. Brown WR Christian Kirk WR Garrett Wilson TE Foster Moreau DST Browns ,,Garrett Wilson,WR,58.33%,27.2
2,3539228077,802the805,0,164.8,QB Jared Goff RB Austin Ekeler RB Samaje Perine WR Amon-Ra St. Brown WR Christian Kirk WR Garrett Wilson FLEX Marquez Valdes-Scantling TE George Kittle DST Bengals ,,Zonovan Knight,RB,33.33%,16.8
3,3533084690,frankmkerr23,0,151.6,QB Justin Herbert RB Josh Jacobs FLEX Samaje Perine RB Zonovan Knight WR Amon-Ra St. Brown WR Keenan Allen WR Zay Jones TE Foster Moreau DST Titans ,,George Kittle,TE,33.33%,4.2
4,3539657082,melodyjharding,0,144.9,QB Justin Herbert RB Christian McCaffrey FLEX Miles Sanders RB Kareem Hunt WR Tyler Lockett WR Garrett Wilson WR Elijah Moore TE T.J. Hockenson DST Lions ,,Joe Burrow,QB,25.00%,30.04
5,3531993379,Iceman_1733,0,136.14,QB Joe Burrow RB Nick Chubb RB Samaje Perine WR Garrett Wilson WR Christian Watson WR Skyy Moore TE Travis Kelce FLEX George Kittle DST Rams ,,Austin Ekeler,RB,25.00%,14.2
6,3538090250,abc010,0,135.82,QB Patrick Mahomes RB Austin Ekeler RB Nick Chubb WR Terry McLaurin WR Garrett Wilson WR Nico Collins FLEX Pat Freiermuth TE Evan Engram DST Jets ,,Nick Chubb,RB,25.00%,8
7,3539499438,sokirkab,0,131.4,QB Jalen Hurts RB Travis Etienne Jr. RB Zonovan Knight WR A.J. Brown WR Amari Cooper WR Marquez Valdes-Scantling TE Mark Andrews FLEX Hayden Hurst DST Steelers ,,Samaje Perine,RB,25.00%,24.5
8,3539588205,stumpjump802,0,117.06,QB Justin Fields RB Derrick Henry RB David Montgomery FLEX Marlon Mack WR A.J. Brown WR Diontae Johnson WR Corey Davis TE Gerald Everett DST Bears ,,Amon-Ra St. Brown,WR,25.00%,37.6
9,3538551447,Matthew.walsh5,0,109.34,QB Joe Burrow RB Derrick Henry RB Zonovan Knight WR Tee Higgins WR Garrett Wilson FLEX George Pickens WR Zay Jones TE George Kittle DST Giants ,,Zay Jones,WR,25.00%,3.6
10,3539336407,sarahskerr,0,109.12,QB Patrick Mahomes RB David Montgomery RB Brian Robinson Jr. WR Tee Higgins WR Christian Watson WR Zay Jones FLEX Travis Kelce TE Harrison Bryant DST Rams ,,Travis Kelce,TE,25.00%,8.6
11,3536171014,QTURNER17,0,102.54,QB Deshaun Watson RB Austin Ekeler RB Jamaal Williams WR Amari Cooper WR Tyler Lockett WR Garrett Wilson FLEX Olamide Zaccheaus TE George Kittle DST Bears ,,Patrick Mahomes,QB,16.67%,19.82
12,3530683669,jcameronmetz,0,99.94,QB Joe Burrow RB Josh Jacobs RB Kenneth Walker III WR Ja'Marr Chase WR Chris Moore WR Skyy Moore TE Travis Kelce FLEX Hayden Hurst DST Steelers ,,Justin Herbert,QB,16.67%,21.1
,,,,,,,Jared Goff,QB,16.67%,24.6
,,,,,,,Derrick Henry,RB,16.67%,5.8
,,,,,,,Josh Jacobs,RB,16.67%,25
,,,,,,,David Montgomery,RB,16.67%,16.7
,,,,,,,A.J. Brown,WR,16.67%,34.9
,,,,,,,Tee Higgins,WR,16.67%,12.5
,,,,,,,Amari Cooper,WR,16.67%,8
,,,,,,,Christian Kirk,WR,16.67%,19.4
,,,,,,,Tyler Lockett,WR,16.67%,30.8
,,,,,,,Christian Watson,WR,16.67%,24.4
,,,,,,,Marquez Valdes-Scantling,WR,16.67%,9.1
,,,,,,,Skyy Moore,WR,16.67%,1.2
,,,,,,,Foster Moreau,TE,16.67%,4.2
,,,,,,,Hayden Hurst,FLEX,16.67%,3.2
,,,,,,,Bears,DST,16.67%,-1
,,,,,,,Steelers,DST,16.67%,4
,,,,,,,Rams,DST,16.67%,8
,,,,,,,Jalen Hurts,QB,8.33%,37.4
,,,,,,,Justin Fields,QB,8.33%,21.26
,,,,,,,Deshaun Watson,QB,8.33%,6.34
,,,,,,,Christian McCaffrey,RB,8.33%,28.6
,,,,,,,Kenneth Walker III,RB,8.33%,3.6
,,,,,,,Travis Etienne Jr.,RB,8.33%,8.6
,,,,,,,Miles Sanders,FLEX,8.33%,11.8
,,,,,,,Jamaal Williams,RB,8.33%,9.5
,,,,,,,Dameon Pierce,RB,8.33%,12.5
,,,,,,,Brian Robinson Jr.,RB,8.33%,13.1
,,,,,,,Kareem Hunt,RB,8.33%,9.4
,,,,,,,Marlon Mack,FLEX,8.33%,1.9
,,,,,,,Ja'Marr Chase,WR,8.33%,16.7
,,,,,,,Keenan Allen,WR,8.33%,20.8
,,,,,,,Terry McLaurin,WR,8.33%,27.5
,,,,,,,Diontae Johnson,WR,8.33%,11
,,,,,,,George Pickens,FLEX,8.33%,1.2
,,,,,,,Nico Collins,WR,8.33%,12.5
,,,,,,,Corey Davis,WR,8.33%,13.5
,,,,,,,Elijah Moore,WR,8.33%,3.7
,,,,,,,Olamide Zaccheaus,FLEX,8.33%,3.3
,,,,,,,Chris Moore,WR,8.33%,7.6
,,,,,,,Mark Andrews,TE,8.33%,9.4
,,,,,,,T.J. Hockenson,TE,8.33%,7.3
,,,,,,,Gerald Everett,TE,8.33%,13
,,,,,,,Pat Freiermuth,FLEX,8.33%,10.6
,,,,,,,Evan Engram,TE,8.33%,14
,,,,,,,Harrison Bryant,TE,8.33%,2.4
,,,,,,,Browns,DST,8.33%,30
,,,,,,,Giants,DST,8.33%,8
,,,,,,,Lions,DST,8.33%,5
,,,,,,,Jets,DST,8.33%,2
,,,,,,,Bengals,DST,8.33%,4
,,,,,,,Titans,DST,8.33%,-2
