Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3505889069,sokirkab,0,142.72,QB Justin Fields RB Tony Pollard RB Dameon Pierce WR Amon-Ra St. Brown WR Tee Higgins WR Drake London FLEX Cole Kmet TE Dawson Knox DST Raiders ,,CeeDee Lamb,WR,45.45%,9.5
2,3507637907,Matthew.walsh5,0,132.48,QB Josh Allen RB Jonathan Taylor RB David Montgomery WR Courtland Sutton WR DJ Moore WR George Pickens FLEX Parris Campbell TE Dawson Knox DST Commanders ,,Parris Campbell,WR,45.45%,11.7
3,3507139406,dalla2746,0,116.5,QB Jalen Hurts RB David Montgomery RB Brian Robinson Jr. WR CeeDee Lamb WR DeVonta Smith FLEX Garrett Wilson WR Parris Campbell TE Kyle Pitts DST Commanders ,,David Montgomery,RB,36.36%,21.1
4,3506295334,cciaburri,0,105.3,QB Joe Burrow FLEX Miles Sanders RB Kenyan Drake RB Devin Singletary WR Tyler Boyd WR Terry McLaurin WR Brandin Cooks TE Greg Dulcich DST Jets ,,Josh Allen,QB,27.27%,12.58
5,3508817286,sarahskerr,0,102.4,QB Joe Burrow RB Miles Sanders FLEX Dameon Pierce RB Melvin Gordon III WR Stefon Diggs WR Adam Thielen WR Donovan Peoples-Jones TE Hayden Hurst DST Colts ,,Justin Fields,QB,27.27%,23.62
6,3503030019,jcameronmetz,0,102.18,QB Josh Allen RB Dameon Pierce RB David Montgomery WR Stefon Diggs WR Terry McLaurin WR Donovan Peoples-Jones FLEX Kyle Pitts TE Dawson Knox DST Steelers ,,Saquon Barkley,RB,27.27%,5.5
7,3505509106,QTURNER17,0,98.84,QB Dak Prescott RB Saquon Barkley RB Kenyan Drake WR CeeDee Lamb WR Tee Higgins WR Van Jefferson TE Foster Moreau FLEX Juwan Johnson DST Bears ,,Dameon Pierce,RB,27.27%,3.7
8,3508296336,802the805,0,97.24,QB Dak Prescott RB David Montgomery RB Antonio Gibson FLEX Justin Jefferson WR CeeDee Lamb WR Nico Collins WR Ben Skowronek TE Dalton Schultz DST Jets ,,Terry McLaurin,WR,27.27%,9.6
9,3507702421,frankmkerr23,0,95.92,QB Justin Fields RB Joe Mixon FLEX Rhamondre Stevenson RB Devin Singletary WR CeeDee Lamb WR Garrett Wilson WR Parris Campbell TE Hayden Hurst DST Steelers ,,Garrett Wilson,WR,27.27%,3.2
10,3506276552,abc010,0,89.68,QB Josh Allen RB Saquon Barkley RB Rhamondre Stevenson WR Terry McLaurin WR Garrett Wilson WR Parris Campbell FLEX Pat Freiermuth TE Greg Dulcich DST Jets ,,Greg Dulcich,TE,27.27%,7
11,3503399720,Iceman_1733,0,83.52,QB Justin Fields RB Saquon Barkley RB Brian Robinson Jr. WR CeeDee Lamb WR Courtland Sutton WR Parris Campbell FLEX Cole Kmet TE Greg Dulcich DST Texans ,,Dawson Knox,TE,27.27%,14
,,,,,,,Jets,DST,27.27%,10
,,,,,,,Joe Burrow,QB,18.18%,31.7
,,,,,,,Dak Prescott,QB,18.18%,20.64
,,,,,,,Miles Sanders,RB,18.18%,5.8
,,,,,,,Rhamondre Stevenson,RB,18.18%,14.2
,,,,,,,Kenyan Drake,RB,18.18%,7.3
,,,,,,,Devin Singletary,RB,18.18%,17.7
,,,,,,,Brian Robinson Jr.,RB,18.18%,5.7
,,,,,,,Stefon Diggs,WR,18.18%,14.8
,,,,,,,Tee Higgins,WR,18.18%,26.8
,,,,,,,Courtland Sutton,WR,18.18%,13
,,,,,,,Donovan Peoples-Jones,WR,18.18%,17.1
,,,,,,,Kyle Pitts,TE,18.18%,7.3
,,,,,,,Cole Kmet,FLEX,18.18%,6.5
,,,,,,,Hayden Hurst,TE,18.18%,4.8
,,,,,,,Commanders,DST,18.18%,19
,,,,,,,Steelers,DST,18.18%,2
,,,,,,,Jalen Hurts,QB,9.09%,25.2
,,,,,,,Jonathan Taylor,RB,9.09%,17.4
,,,,,,,Joe Mixon,RB,9.09%,9.2
,,,,,,,Tony Pollard,RB,9.09%,39.9
,,,,,,,Melvin Gordon III,RB,9.09%,12
,,,,,,,Antonio Gibson,RB,9.09%,13.3
,,,,,,,Justin Jefferson,FLEX,9.09%,6.3
,,,,,,,Amon-Ra St. Brown,WR,9.09%,15
,,,,,,,Tyler Boyd,WR,9.09%,6.2
,,,,,,,DeVonta Smith,WR,9.09%,13.8
,,,,,,,DJ Moore,WR,9.09%,5.4
,,,,,,,Adam Thielen,WR,9.09%,4.5
,,,,,,,Brandin Cooks,WR,9.09%,10
,,,,,,,George Pickens,WR,9.09%,18.3
,,,,,,,Drake London,WR,9.09%,7.2
,,,,,,,Van Jefferson,WR,9.09%,7.1
,,,,,,,Nico Collins,WR,9.09%,9.8
,,,,,,,Ben Skowronek,WR,9.09%,1.4
,,,,,,,Dalton Schultz,TE,9.09%,5.2
,,,,,,,Pat Freiermuth,FLEX,9.09%,15.9
,,,,,,,Foster Moreau,TE,9.09%,4.3
,,,,,,,Juwan Johnson,FLEX,9.09%,13.7
,,,,,,,Bears,DST,9.09%,4
,,,,,,,Raiders,DST,9.09%,6
,,,,,,,Texans,DST,9.09%,1
,,,,,,,Colts,DST,9.09%,8
