Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,3546406949,Iceman_1733,0,162.9,QB Jared Goff RB Tony Pollard RB D'Andre Swift WR Justin Jefferson WR Amon-Ra St. Brown WR Deebo Samuel FLEX Chris Moore TE Greg Dulcich DST Panthers ,,Amon-Ra St. Brown,WR,77.78%,13.4
2,3549323931,abc010,0,156.8,QB Jared Goff RB Tony Pollard RB D'Andre Swift WR Justin Jefferson WR Amon-Ra St. Brown WR Chris Moore TE Pat Freiermuth FLEX Greg Dulcich DST Cowboys ,,D'Andre Swift,RB,66.67%,6.9
3,3551989613,jcameronmetz,0,147.3,QB Jared Goff RB Christian McCaffrey RB Travis Homer WR Justin Jefferson WR Amon-Ra St. Brown WR Isaiah McKenzie FLEX K.J. Osborn TE Greg Dulcich DST Steelers ,,Greg Dulcich,TE,66.67%,7.2
4,3547733087,frankmkerr23,0,143.2,QB Kirk Cousins RB Joe Mixon RB D'Andre Swift FLEX Travis Homer WR Justin Jefferson WR Amon-Ra St. Brown WR Chris Moore TE Greg Dulcich DST Jets ,,Justin Jefferson,WR,55.56%,36.3
5,3549616391,NickLamothe,0,140.36,QB Dak Prescott RB Ezekiel Elliott RB D'Onta Foreman WR Justin Jefferson WR Ja'Marr Chase WR Garrett Wilson TE Austin Hooper FLEX C.J. Uzomah DST Cowboys ,,Jared Goff,QB,44.44%,29.1
6,3552744233,802the805,0,129.36,QB Geno Smith RB Joe Mixon RB Ezekiel Elliott WR Amon-Ra St. Brown WR Tyler Lockett FLEX DJ Moore WR Chris Moore TE T.J. Hockenson DST Jets ,,Chris Moore,WR,44.44%,25.4
7,3548919029,sokirkab,0,118.78,QB Patrick Mahomes RB D'Andre Swift RB Latavius Murray WR Amon-Ra St. Brown WR Jerry Jeudy WR Marquez Valdes-Scantling FLEX Travis Kelce TE Greg Dulcich DST Jaguars ,,Tony Pollard,RB,33.33%,22.2
8,3547584213,dalla2746,0,108.3,QB Jared Goff RB D'Andre Swift RB Zonovan Knight WR Amon-Ra St. Brown WR Christian Kirk FLEX Darius Slayton WR George Pickens TE T.J. Hockenson DST Cowboys ,,Cowboys,DST,33.33%,4
9,3551312944,Matthew.walsh5,0,85.26,QB Joe Burrow RB Tony Pollard RB D'Andre Swift WR Tee Higgins FLEX Tyler Lockett WR DJ Moore WR George Pickens TE Greg Dulcich DST Steelers ,,Joe Mixon,RB,22.22%,12.6
,,,,,,,Ezekiel Elliott,RB,22.22%,17.1
,,,,,,,Travis Homer,RB,22.22%,5.4
,,,,,,,Tyler Lockett,WR,22.22%,17
,,,,,,,DJ Moore,WR,22.22%,0.6
,,,,,,,George Pickens,WR,22.22%,10.8
,,,,,,,T.J. Hockenson,TE,22.22%,12.7
,,,,,,,Steelers,DST,22.22%,3
,,,,,,,Jets,DST,22.22%,8
,,,,,,,Patrick Mahomes,QB,11.11%,25.78
,,,,,,,Joe Burrow,QB,11.11%,17.56
,,,,,,,Dak Prescott,QB,11.11%,15.66
,,,,,,,Geno Smith,QB,11.11%,22.56
,,,,,,,Kirk Cousins,QB,11.11%,28
,,,,,,,Christian McCaffrey,RB,11.11%,32.3
,,,,,,,D'Onta Foreman,RB,11.11%,8.5
,,,,,,,Latavius Murray,RB,11.11%,6.1
,,,,,,,Zonovan Knight,RB,11.11%,15.7
,,,,,,,Ja'Marr Chase,WR,11.11%,31.5
,,,,,,,Tee Higgins,WR,11.11%,0
,,,,,,,Christian Kirk,WR,11.11%,9.5
,,,,,,,Deebo Samuel,WR,11.11%,15.4
,,,,,,,Garrett Wilson,WR,11.11%,13.8
,,,,,,,Jerry Jeudy,WR,11.11%,33.3
,,,,,,,Darius Slayton,FLEX,11.11%,6.2
,,,,,,,Isaiah McKenzie,WR,11.11%,5.8
,,,,,,,Marquez Valdes-Scantling,WR,11.11%,3
,,,,,,,K.J. Osborn,FLEX,11.11%,14.8
,,,,,,,Travis Kelce,FLEX,11.11%,11.1
,,,,,,,Pat Freiermuth,TE,11.11%,12.3
,,,,,,,Austin Hooper,TE,11.11%,11.8
,,,,,,,C.J. Uzomah,FLEX,11.11%,1.7
,,,,,,,Jaguars,DST,11.11%,12
,,,,,,,Panthers,DST,11.11%,7
