Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4058238071,Iceman_1733,0,158.16,DST Falcons  FLEX David Njoku QB Brock Purdy RB Jaylen Warren RB Zack Moss TE Brevin Jordan WR Tyreek Hill WR Brandon Aiyuk WR Michael Pittman Jr.,,Zack Moss,RB,88.89%,7.7
2,4061731790,abc010,0,151.26,DST Falcons  FLEX Rachaad White QB Brock Purdy RB Jaylen Warren RB Zack Moss TE David Njoku WR Tyreek Hill WR Courtland Sutton WR Diontae Johnson,,Tyreek Hill,WR,77.78%,35.3
3,4058218658,jcameronmetz,0,144.74,DST Panthers  FLEX Christian McCaffrey QB Russell Wilson RB Kyren Williams RB Zack Moss TE Brevin Jordan WR Tyreek Hill WR Courtland Sutton WR Elijah Moore,,David Njoku,TE,55.56%,3.7
4,4062990679,dank620,0,138.36,DST Patriots  FLEX Jaylen Warren QB Brock Purdy RB Rachaad White RB Zack Moss TE David Njoku WR Tyreek Hill WR Brandon Aiyuk WR Curtis Samuel,,Rachaad White,RB,44.44%,19.6
5,4061865607,dalla2746,0,138.2,DST Colts  FLEX Courtland Sutton QB Tua Tagovailoa RB Najee Harris RB Zack Moss TE George Kittle WR Tyreek Hill WR Curtis Samuel WR Elijah Moore,,Jaylen Warren,RB,44.44%,6.5
6,4063340038,frankmkerr23,0,127.64,DST Panthers  FLEX Derrick Henry QB Russell Wilson RB Breece Hall RB Zack Moss TE David Njoku WR DeVonta Smith WR Brandon Aiyuk WR Courtland Sutton,,Courtland Sutton,WR,44.44%,15.7
7,4055586524,molly_camp,0,121.02,DST Dolphins  FLEX Jack Stoll QB Jalen Hurts RB Breece Hall RB Rachaad White TE Sam LaPorta WR Jaylen Waddle WR Chris Godwin WR Allen Robinson II,,Brock Purdy,QB,33.33%,32.46
8,4063067238,802the805,0,92.06,DST Saints  FLEX Terry McLaurin QB C.J. Stroud RB Rachaad White RB Zack Moss TE Brevin Jordan WR Tyreek Hill WR Tank Dell WR A.T. Perry,,Brandon Aiyuk,WR,33.33%,15.6
9,4062925037,sokirkab,0,87.4,DST Patriots  FLEX Jaylen Warren QB Tua Tagovailoa RB D'Andre Swift RB Zack Moss TE David Njoku WR Tyreek Hill WR Terry McLaurin WR A.T. Perry,,Brevin Jordan,TE,33.33%,9.4
,,,,,,,Tua Tagovailoa,QB,22.22%,19.2
,,,,,,,Russell Wilson,QB,22.22%,18.84
,,,,,,,Breece Hall,RB,22.22%,10.5
,,,,,,,Terry McLaurin,WR,22.22%,0
,,,,,,,Curtis Samuel,WR,22.22%,10.5
,,,,,,,Elijah Moore,WR,22.22%,12.3
,,,,,,,A.T. Perry,WR,22.22%,4
,,,,,,,Falcons,DST,22.22%,17
,,,,,,,Panthers,DST,22.22%,3
,,,,,,,Patriots,DST,22.22%,7
,,,,,,,Jalen Hurts,QB,11.11%,23.92
,,,,,,,C.J. Stroud,QB,11.11%,16.06
,,,,,,,Christian McCaffrey,FLEX,11.11%,22.3
,,,,,,,Kyren Williams,RB,11.11%,20.2
,,,,,,,Derrick Henry,FLEX,11.11%,28
,,,,,,,D'Andre Swift,RB,11.11%,4
,,,,,,,Najee Harris,RB,11.11%,9.7
,,,,,,,Jaylen Waddle,WR,11.11%,10.2
,,,,,,,Tank Dell,WR,11.11%,0
,,,,,,,DeVonta Smith,WR,11.11%,24.6
,,,,,,,Michael Pittman Jr.,WR,11.11%,30.5
,,,,,,,Chris Godwin,WR,11.11%,7.9
,,,,,,,Diontae Johnson,WR,11.11%,13.3
,,,,,,,Allen Robinson II,WR,11.11%,4.9
,,,,,,,George Kittle,TE,11.11%,10.8
,,,,,,,Sam LaPorta,TE,11.11%,32
,,,,,,,Jack Stoll,FLEX,11.11%,0
,,,,,,,Dolphins,DST,11.11%,12
,,,,,,,Colts,DST,11.11%,17
,,,,,,,Saints,DST,11.11%,0
