Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4112203836,jcameronmetz,0,144.86,DST Broncos  FLEX Zamir White QB Tyrod Taylor RB Christian McCaffrey RB Kyren Williams TE Trey McBride WR Nico Collins WR Darius Slayton WR Chris Moore,,Christian McCaffrey,RB,71.43%,13.1
2,4112947494,802the805,0,137.26,DST Steelers  FLEX Rashee Rice QB Tyrod Taylor RB Christian McCaffrey RB Kyren Williams TE Gerald Everett WR Chris Olave WR Cedrick Wilson Jr. WR Darius Slayton,,Zamir White,RB,71.43%,15.6
3,4112299953,frankmkerr23,0,136.24,DST Panthers  FLEX Curtis Samuel QB Lamar Jackson RB Kyren Williams RB Zamir White TE Isaiah Likely WR Tyreek Hill WR DeMario Douglas WR DJ Chark Jr.,,Kyren Williams,RB,42.86%,30.1
4,4105829624,molly_camp,0,119.94,DST Buccaneers  FLEX Richie James Jr. QB Lamar Jackson RB Derrick Henry RB Isiah Pacheco TE Trey McBride WR Calvin Ridley WR Zay Flowers WR Jahan Dotson,,Gerald Everett,TE,42.86%,7.7
5,4108032625,Iceman_1733,0,112.08,DST Panthers  FLEX Cedrick Wilson Jr. QB Jalen Hurts RB Christian McCaffrey RB Zamir White TE Gerald Everett WR Rashee Rice WR Chris Olave WR Michael Wilson,,Jalen Hurts,QB,28.57%,20.18
6,4111925765,Matthew.walsh5,0,94.68,DST Raiders  FLEX Darren Waller QB Jalen Hurts RB Christian McCaffrey RB Zamir White TE Pat Freiermuth WR A.J. Brown WR DeVante Parker WR Michael Wilson,,Lamar Jackson,QB,28.57%,39.34
7,4112007342,abc010,0,94.3,DST Ravens  FLEX James Cook QB Brock Purdy RB Christian McCaffrey RB Zamir White TE Gerald Everett WR DeAndre Hopkins WR Rashid Shaheed WR DeMario Douglas,,Tyrod Taylor,QB,28.57%,22.76
,,,,,,,Rashee Rice,WR,28.57%,20.7
,,,,,,,Chris Olave,WR,28.57%,5.6
,,,,,,,DeMario Douglas,WR,28.57%,7.3
,,,,,,,Cedrick Wilson Jr.,WR,28.57%,10.7
,,,,,,,Michael Wilson,WR,28.57%,15.5
,,,,,,,Darius Slayton,WR,28.57%,23.6
,,,,,,,Trey McBride,TE,28.57%,10.8
,,,,,,,Panthers,DST,28.57%,3
,,,,,,,Brock Purdy,QB,14.29%,17.6
,,,,,,,James Cook,FLEX,14.29%,5.4
,,,,,,,Derrick Henry,RB,14.29%,4.2
,,,,,,,Isiah Pacheco,RB,14.29%,32.5
,,,,,,,Tyreek Hill,WR,14.29%,13.6
,,,,,,,A.J. Brown,WR,14.29%,9.3
,,,,,,,Nico Collins,WR,14.29%,15.7
,,,,,,,Calvin Ridley,WR,14.29%,7.9
,,,,,,,DeAndre Hopkins,WR,14.29%,14.2
,,,,,,,Zay Flowers,WR,14.29%,22.6
,,,,,,,Rashid Shaheed,WR,14.29%,3.4
,,,,,,,Curtis Samuel,FLEX,14.29%,6.3
,,,,,,,Jahan Dotson,WR,14.29%,0
,,,,,,,DJ Chark Jr.,WR,14.29%,2.8
,,,,,,,DeVante Parker,WR,14.29%,2.5
,,,,,,,Chris Moore,WR,14.29%,4.2
,,,,,,,Richie James Jr.,FLEX,14.29%,1.6
,,,,,,,Isaiah Likely,TE,14.29%,18.2
,,,,,,,Darren Waller,FLEX,14.29%,10.1
,,,,,,,Pat Freiermuth,TE,14.29%,7.4
,,,,,,,Buccaneers,DST,14.29%,1
,,,,,,,Raiders,DST,14.29%,1
,,,,,,,Broncos,DST,14.29%,9
,,,,,,,Ravens,DST,14.29%,10
,,,,,,,Steelers,DST,14.29%,3
