Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4073345249,Iceman_1733,0,166.06,DST Bears  FLEX Odell Beckham Jr. QB Russell Wilson RB Christian McCaffrey RB Alvin Kamara TE Gerald Everett WR DJ Moore WR Courtland Sutton WR Drake London,,Zack Moss,RB,77.78%,9.6
2,4074747281,jcameronmetz,0,163.02,DST Browns  FLEX Christian McCaffrey QB Justin Fields RB Kyren Williams RB Zack Moss TE Isaiah Likely WR DJ Moore WR Drake London WR Trey Palmer,,Christian McCaffrey,RB,44.44%,19.3
3,4071880216,abc010,0,157.72,DST Browns  FLEX Zack Moss QB Brock Purdy RB Alvin Kamara RB Joe Mixon TE Cole Kmet WR Deebo Samuel WR Rashee Rice WR Zay Jones,,DJ Moore,WR,44.44%,26.8
4,4074114669,dalla2746,0,155.72,DST Broncos  FLEX Rashee Rice QB Josh Allen RB James Cook RB Javonte Williams TE Dalton Kincaid WR Deebo Samuel WR Elijah Moore WR Jaxon Smith-Njigba,,Josh Allen,QB,33.33%,21.52
5,4074033615,Matthew.walsh5,0,131.42,DST Lions  FLEX Jerick McKinnon QB Josh Allen RB Christian McCaffrey RB Zack Moss TE Kyle Pitts WR Courtland Sutton WR Drake London WR Khalil Shakir,,Rashee Rice,WR,33.33%,19.2
6,4072829572,frankmkerr23,0,130.22,DST Bills  FLEX Khalil Shakir QB Justin Fields RB Kyren Williams RB Zack Moss TE Isaiah Likely WR Amon-Ra St. Brown WR DJ Moore WR Rashee Rice,,Drake London,WR,33.33%,32.2
7,4073931522,sokirkab,0,117.54,DST Falcons  FLEX Gabe Davis QB Patrick Mahomes RB Christian McCaffrey RB Zack Moss TE Isaiah Likely WR DJ Moore WR Elijah Moore WR Odell Beckham Jr.,,Odell Beckham Jr.,WR,33.33%,19.7
8,4067766464,molly_camp,0,90.74,DST Colts  FLEX Mack Hollins QB Jared Goff RB Rachaad White RB Zack Moss TE Sam LaPorta WR Amon-Ra St. Brown WR Chris Godwin WR Odell Beckham Jr.,,Isaiah Likely,TE,33.33%,19.3
9,4074800916,802the805,0,87.92,DST Bills  FLEX Clyde Edwards-Helaire QB Josh Allen RB Bijan Robinson RB Zack Moss TE Cole Kmet WR Stefon Diggs WR Gabe Davis WR Jonathan Mingo,,Justin Fields,QB,22.22%,24.72
,,,,,,,Alvin Kamara,RB,22.22%,13.5
,,,,,,,Kyren Williams,RB,22.22%,17.3
,,,,,,,Amon-Ra St. Brown,WR,22.22%,5.1
,,,,,,,Deebo Samuel,WR,22.22%,37
,,,,,,,Courtland Sutton,WR,22.22%,15.2
,,,,,,,Gabe Davis,WR,22.22%,0
,,,,,,,Elijah Moore,WR,22.22%,7.2
,,,,,,,Khalil Shakir,WR,22.22%,2.2
,,,,,,,Cole Kmet,TE,22.22%,11.6
,,,,,,,Browns,DST,22.22%,12
,,,,,,,Bills,DST,22.22%,6
,,,,,,,Patrick Mahomes,QB,11.11%,14.64
,,,,,,,Brock Purdy,QB,11.11%,25.42
,,,,,,,Jared Goff,QB,11.11%,8.44
,,,,,,,Russell Wilson,QB,11.11%,16.46
,,,,,,,Rachaad White,RB,11.11%,24.5
,,,,,,,Bijan Robinson,RB,11.11%,19.8
,,,,,,,Joe Mixon,RB,11.11%,21.5
,,,,,,,James Cook,RB,11.11%,25.1
,,,,,,,Javonte Williams,RB,11.11%,18.1
,,,,,,,Jerick McKinnon,FLEX,11.11%,12.7
,,,,,,,Clyde Edwards-Helaire,FLEX,11.11%,8.8
,,,,,,,Stefon Diggs,WR,11.11%,6.4
,,,,,,,Chris Godwin,WR,11.11%,10.3
,,,,,,,Jaxon Smith-Njigba,WR,11.11%,6.5
,,,,,,,Zay Jones,WR,11.11%,7.9
,,,,,,,Jonathan Mingo,WR,11.11%,4.2
,,,,,,,Mack Hollins,FLEX,11.11%,1.4
,,,,,,,Trey Palmer,WR,11.11%,1.8
,,,,,,,Sam LaPorta,TE,11.11%,4.7
,,,,,,,Dalton Kincaid,TE,11.11%,7.1
,,,,,,,Kyle Pitts,TE,11.11%,14.7
,,,,,,,Gerald Everett,TE,11.11%,8.9
,,,,,,,Colts,DST,11.11%,7
,,,,,,,Lions,DST,11.11%,4
,,,,,,,Falcons,DST,11.11%,1
,,,,,,,Broncos,DST,11.11%,14
,,,,,,,Bears,DST,11.11%,14
