Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,4087557036,Iceman_1733,0,187.62001,DST Jets  FLEX Chig Okonkwo QB Matthew Stafford RB Christian McCaffrey RB Kyren Williams TE David Njoku WR Cooper Kupp WR Noah Brown WR Rashid Shaheed,,Kyren Williams,FLEX,66.67%,29.5
2,4087870640,jcameronmetz,0,161.76,DST Panthers  FLEX Christian McCaffrey QB Jordan Love RB Kyren Williams RB Rachaad White TE Tucker Kraft WR DeAndre Hopkins WR Jayden Reed WR Cedrick Wilson Jr.,,Ezekiel Elliott,RB,55.56%,9.6
3,4085582799,abc010,0,160.78,DST Rams  FLEX Kyren Williams QB Brock Purdy RB Christian McCaffrey RB Ezekiel Elliott TE Tucker Kraft WR Garrett Wilson WR Jayden Reed WR Wan'Dale Robinson,,Jayden Reed,WR,55.56%,17.2
4,4088388266,dank620,0,150.98001,DST Patriots  FLEX Kyren Williams QB Brock Purdy RB Christian McCaffrey RB Ezekiel Elliott TE Chig Okonkwo WR DeAndre Hopkins WR Jayden Reed WR Rashid Shaheed,,Christian McCaffrey,RB,44.44%,44.7
5,4085620575,802the805,0,113.92,DST Patriots  FLEX Kyren Williams QB Matthew Stafford RB Bijan Robinson RB Ezekiel Elliott TE Chig Okonkwo WR Cooper Kupp WR Brandon Aiyuk WR Wan'Dale Robinson,,DJ Moore,WR,33.33%,9.2
6,4087568903,sokirkab,0,113.50001,DST Rams  FLEX Drake London QB Patrick Mahomes RB Kyren Williams RB Ezekiel Elliott TE Jake Ferguson WR DJ Moore WR Jayden Reed WR Wan'Dale Robinson,,Wan'Dale Robinson,WR,33.33%,6.5
7,4088381655,Matthew.walsh5,0,103.21999,DST Titans  FLEX Bijan Robinson QB Matthew Stafford RB Tony Pollard RB Ezekiel Elliott TE Tucker Kraft WR Cooper Kupp WR DJ Moore WR Jalin Hyatt,,Tucker Kraft,TE,33.33%,15.7
8,4086997560,dalla2746,0,81.26,DST Jets  FLEX Dalton Kincaid QB Dak Prescott RB Breece Hall RB Antonio Gibson TE Jake Ferguson WR CeeDee Lamb WR Jayden Reed WR Demarcus Robinson,,Matthew Stafford,QB,33.33%,18.52
9,4080583343,molly_camp,0,78.56,DST Chiefs  FLEX Garrett Wilson QB Dak Prescott RB Derrick Henry RB Devin Singletary TE Cole Kmet WR DJ Moore WR Brandin Cooks WR Justin Watson,,Cooper Kupp,WR,33.33%,28.1
,,,,,,,Chig Okonkwo,TE,33.33%,6.6
,,,,,,,Dak Prescott,QB,22.22%,7.06
,,,,,,,Garrett Wilson,FLEX,22.22%,5.9
,,,,,,,Brock Purdy,QB,22.22%,25.68
,,,,,,,Rams ,DST,22.22%,6
,,,,,,,Bijan Robinson,RB,22.22%,1.4
,,,,,,,Patriots ,DST,22.22%,7
,,,,,,,Jake Ferguson,TE,22.22%,10.4
,,,,,,,Jets ,DST,22.22%,2
,,,,,,,Rashid Shaheed,WR,22.22%,6.6
,,,,,,,DeAndre Hopkins,WR,22.22%,4.1
,,,,,,,Derrick Henry,RB,11.11%,5
,,,,,,,Devin Singletary,RB,11.11%,24
,,,,,,,Brandin Cooks,WR,11.11%,3
,,,,,,,Justin Watson,WR,11.11%,4.1
,,,,,,,Cole Kmet,TE,11.11%,13.3
,,,,,,,Chiefs ,DST,11.11%,7
,,,,,,,Brandon Aiyuk,WR,11.11%,6.7
,,,,,,,Breece Hall,RB,11.11%,2.8
,,,,,,,Antonio Gibson,RB,11.11%,8.5
,,,,,,,CeeDee Lamb,WR,11.11%,18.6
,,,,,,,Demarcus Robinson,WR,11.11%,14.7
,,,,,,,Dalton Kincaid,FLEX,11.11%,0
,,,,,,,Noah Brown,WR,11.11%,22.2
,,,,,,,David Njoku,TE,11.11%,29.4
,,,,,,,Patrick Mahomes,QB,11.11%,20.7
,,,,,,,Drake London,FLEX,11.11%,4.4
,,,,,,,Jordan Love,QB,11.11%,18.46
,,,,,,,Rachaad White,RB,11.11%,21.9
,,,,,,,Cedrick Wilson Jr.,WR,11.11%,2.2
,,,,,,,Panthers ,DST,11.11%,8
,,,,,,,Tony Pollard,RB,11.11%,7.7
,,,,,,,Jalin Hyatt,WR,11.11%,0
,,,,,,,Titans ,DST,11.11%,13
