Rank,EntryId,EntryName,TimeRemaining,Points,,,,,
1,4112203836,Iceman_1733,0,178.92,,,,,
2,4112947494,abc010,0,171.4,,,,,
3,4112299953,802the805,0,167.82,,,,,
4,4105829624,frankmkerr23,0,149.34,,,,,
5,4108032625,Matthew.walsh5,0,127.2,,,,,
6,4111925765,sokirkab,0,115.06,,,,,
7,4112007342,molly_camp,0,106.8,,,,,
8,,dalla2746,0,105.8,,,,,
9,,jcameronmetz,0,100.32,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
